title,description,link,query
"경남도, ‘인공지능 기반 통합돌봄’ 본격 가동...전국 광역 최초 ‘AI 통합복지플랫폼’ 6월 본격 개시 - 인공지능신문","<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE52MnRpLTc2dU04ejFkTW5aZUN0d0JVMThPWmxKZmptbHJLWkFLSG5HLXhWTmpVMmY2N05jaFdRSndONU1ZSFRNZjY2ZkNVQ1RrX1N5VmpmRjZYdUVsc1pweS04VExocDg?oc=5"" target=""_blank"">경남도, ‘인공지능 기반 통합돌봄’ 본격 가동...전국 광역 최초 ‘AI 통합복지플랫폼’ 6월 본격 개시</a>&nbsp;&nbsp;<font color=""#6f6f6f"">인공지능신문</font>",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE52MnRpLTc2dU04ejFkTW5aZUN0d0JVMThPWmxKZmptbHJLWkFLSG5HLXhWTmpVMmY2N05jaFdRSndONU1ZSFRNZjY2ZkNVQ1RrX1N5VmpmRjZYdUVsc1pweS04VExocDg?oc=5,인공지능
[기고] 인공지능(AI) 시대 '쓸모없는 인간' - v.daum.net,"<a href=""https://news.google.com/rss/articles/CBMiT0FVX3lxTE1OdXMyQXZIc2w1S1czcmFuRHpNa25zMFg4aUVhSHFYRnlqZlkyM2FpQ1NXLXRTYklhOGdwV1VqQUdTVHRTRzdrbTM4N093Qjg?oc=5"" target=""_blank"">[기고] 인공지능(AI) 시대 '쓸모없는 인간'</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiT0FVX3lxTE1OdXMyQXZIc2w1S1czcmFuRHpNa25zMFg4aUVhSHFYRnlqZlkyM2FpQ1NXLXRTYklhOGdwV1VqQUdTVHRTRzdrbTM4N093Qjg?oc=5,인공지능
"경기도여성가족재단, ‘인공지능과 사회정책’ 포럼 … “인간이 더 나은 세상 디자인할 기회 얼마 남지 않아” - v.daum.net","<a href=""https://news.google.com/rss/articles/CBMiRkFVX3lxTFBCWFdDYXI5UjAwYWtUX1VENlVOcjBLZ0VqRDhkbkxTRFN5WFNiQmVXN3c4aGxHUnZvdlNDVDFuWDg4RVQxNXc?oc=5"" target=""_blank"">경기도여성가족재단, ‘인공지능과 사회정책’ 포럼 … “인간이 더 나은 세상 디자인할 기회 얼마 남지 않아”</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiRkFVX3lxTFBCWFdDYXI5UjAwYWtUX1VENlVOcjBLZ0VqRDhkbkxTRFN5WFNiQmVXN3c4aGxHUnZvdlNDVDFuWDg4RVQxNXc?oc=5,인공지능
“사람은 무서워도 AI는 편해요”…우울할수록 인공지능에 말 건다 - v.daum.net,"<a href=""https://news.google.com/rss/articles/CBMiS0FVX3lxTE9aVWdScFh4dXVDdVpYX0NIa2ZadllMcXRZWUNOb3RUU2FGcnZIUkYzX0VCcVdOSG5naGdmdDJiZUY4SUZ3NE5xSHpTTQ?oc=5"" target=""_blank"">“사람은 무서워도 AI는 편해요”…우울할수록 인공지능에 말 건다</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiS0FVX3lxTE9aVWdScFh4dXVDdVpYX0NIa2ZadllMcXRZWUNOb3RUU2FGcnZIUkYzX0VCcVdOSG5naGdmdDJiZUY4SUZ3NE5xSHpTTQ?oc=5,인공지능
[이슈] ‘대한민국 인공지능행동계획’ 확정… AI 3강 도약 청사진 구체화 - 미래한국 Weekly,"<a href=""https://news.google.com/rss/articles/CBMicEFVX3lxTE9Od0lBYTZhR3Y5TU40U1VMU3lxSW5nVlNSR3o5WGt5MHlObUdJWnZuNzRjc3lwLXE5M2tYOHhBeWluelAybU90aG5JaFVSeGNVOFF4eHJmdXB4bjgyRGkwMHN6ejUzRGx2QnZReWRteFk?oc=5"" target=""_blank"">[이슈] ‘대한민국 인공지능행동계획’ 확정… AI 3강 도약 청사진 구체화</a>&nbsp;&nbsp;<font color=""#6f6f6f"">미래한국 Weekly</font>",https://news.google.com/rss/articles/CBMicEFVX3lxTE9Od0lBYTZhR3Y5TU40U1VMU3lxSW5nVlNSR3o5WGt5MHlObUdJWnZuNzRjc3lwLXE5M2tYOHhBeWluelAybU90aG5JaFVSeGNVOFF4eHJmdXB4bjgyRGkwMHN6ejUzRGx2QnZReWRteFk?oc=5,인공지능
"인공지능의 신뢰성, 투명성 관련 규제 현황과 저작권 법적 쟁점 - 법률신문","<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE1BUk11SXh2aGV3UjRYNF9GZ1Fyd3ZLUnVTbDhRNm9OSFRtaUZ5QTdtTU51YXZMZ2NvdVBNYzlfRFN3ZFd5czI3NGlSTWY4dXV6RkJkYXluX0VwTFBxcVV3SWdlZ0NBbnVBeVlyYWxn0gFyQVVfeXFMUFY2c2lpcS1KYUpOZEZrbXVuVktWOGVoRGc5NGxWSzBkdC1SY0NiNzdZUXVGanBucVJ3NV9nZjJvaXE4RmJfLXV3bnVEUE9rbW9FRXk3YU9DWlZWRi0zWnVxNDRDVHRsNkdYeENVMEJ1SDB3?oc=5"" target=""_blank"">인공지능의 신뢰성, 투명성 관련 규제 현황과 저작권 법적 쟁점</a>&nbsp;&nbsp;<font color=""#6f6f6f"">법률신문</font>",https://news.google.com/rss/articles/CBMibkFVX3lxTE1BUk11SXh2aGV3UjRYNF9GZ1Fyd3ZLUnVTbDhRNm9OSFRtaUZ5QTdtTU51YXZMZ2NvdVBNYzlfRFN3ZFd5czI3NGlSTWY4dXV6RkJkYXluX0VwTFBxcVV3SWdlZ0NBbnVBeVlyYWxn0gFyQVVfeXFMUFY2c2lpcS1KYUpOZEZrbXVuVktWOGVoRGc5NGxWSzBkdC1SY0NiNzdZUXVGanBucVJ3NV9nZjJvaXE4RmJfLXV3bnVEUE9rbW9FRXk3YU9DWlZWRi0zWnVxNDRDVHRsNkdYeENVMEJ1SDB3?oc=5,인공지능
"오티콘보청기, 디지털 의료기기 인증… 인공지능 AI 2.0 보청기 주목 - v.daum.net","<a href=""https://news.google.com/rss/articles/CBMiVEFVX3lxTE1UWU8wVW5fYTJ5d0Nxakk1T2Y3NVdpWHZqeUx3MHJVblNzekNWY2tMa05BNk9XR2RNR1FBSDNvbjc0dWtSdVEwcExWcDRIMWQ2UUItVw?oc=5"" target=""_blank"">오티콘보청기, 디지털 의료기기 인증… 인공지능 AI 2.0 보청기 주목</a>&nbsp;&nbsp;<font color=""#6f6f6f"">v.daum.net</font>",https://news.google.com/rss/articles/CBMiVEFVX3lxTE1UWU8wVW5fYTJ5d0Nxakk1T2Y3NVdpWHZqeUx3MHJVblNzekNWY2tMa05BNk9XR2RNR1FBSDNvbjc0dWtSdVEwcExWcDRIMWQ2UUItVw?oc=5,인공지능
"“인공지능이 하루 57명 취업 연결”...고용부, 청년·기업이 직접 고른 AI 고용서비스 확대 - 인공지능신문","<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9QOTB2eGFKWlRVUnhJZllIZ0NDbG5RUWVDcUM2dnJTMUU5RGNPNzVIRThiNzZkeU8xOVhWYVJCSWs0eUxINHpkVzBiMDNhWnBhaDYzR1lYbFROdV9iOHBDUDFabWxsZGc?oc=5"" target=""_blank"">“인공지능이 하루 57명 취업 연결”...고용부, 청년·기업이 직접 고른 AI 고용서비스 확대</a>&nbsp;&nbsp;<font color=""#6f6f6f"">인공지능신문</font>",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE9QOTB2eGFKWlRVUnhJZllIZ0NDbG5RUWVDcUM2dnJTMUU5RGNPNzVIRThiNzZkeU8xOVhWYVJCSWs0eUxINHpkVzBiMDNhWnBhaDYzR1lYbFROdV9iOHBDUDFabWxsZGc?oc=5,인공지능
"KGM, AI 휴머노이드 기술 개발 MOU 체결… 인공지능 기술 개발에 속도 - 인공지능신문","<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1YeW0xeEw2eWhBSVhRck9WM1M2X0kxeDdDcVNMQVJzZlJYWklKMDl3UU1TWXc0T0d5dUNJc2tjMUVjX0Jxd3ZMNWRfYS0yamRjNlJkelJlckJreVFrX25HQy01RUxOdDQ?oc=5"" target=""_blank"">KGM, AI 휴머노이드 기술 개발 MOU 체결… 인공지능 기술 개발에 속도</a>&nbsp;&nbsp;<font color=""#6f6f6f"">인공지능신문</font>",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE1YeW0xeEw2eWhBSVhRck9WM1M2X0kxeDdDcVNMQVJzZlJYWklKMDl3UU1TWXc0T0d5dUNJc2tjMUVjX0Jxd3ZMNWRfYS0yamRjNlJkelJlckJreVFrX25HQy01RUxOdDQ?oc=5,인공지능
인하대 AI·데이터법연구소 출범 - 법률신문,"<a href=""https://news.google.com/rss/articles/CBMibkFVX3lxTE9VV0xGX1lKRGNScG9xR1JKcVI3VE1rMVY5VDRCeVE0cExLRU55QmtyYWlOU2xfSkdWdDFKdGNTRUQ1VUJqZGVwMmJNX2d6bHRZVURlcjNlVmQ1STJuWVJOVkdVY2pJN2dTRERkSkd30gFyQVVfeXFMTUw0U0d6ektKVGpudFJtRktnalk2OVdYWV9ad1hkdUh5S1ZUSDFrSi1uWDNjTHVxRjI0NVRZcGtiQWRmOGJZSC1UeW9RUERpZnlsRjNkRTFUMm13bkI3VDFYZmdWYWwwSDY4ZVBQTmdnZWx3?oc=5"" target=""_blank"">인하대 AI·데이터법연구소 출범</a>&nbsp;&nbsp;<font color=""#6f6f6f"">법률신문</font>",https://news.google.com/rss/articles/CBMibkFVX3lxTE9VV0xGX1lKRGNScG9xR1JKcVI3VE1rMVY5VDRCeVE0cExLRU55QmtyYWlOU2xfSkdWdDFKdGNTRUQ1VUJqZGVwMmJNX2d6bHRZVURlcjNlVmQ1STJuWVJOVkdVY2pJN2dTRERkSkd30gFyQVVfeXFMTUw0U0d6ektKVGpudFJtRktnalk2OVdYWV9ad1hkdUh5S1ZUSDFrSi1uWDNjTHVxRjI0NVRZcGtiQWRmOGJZSC1UeW9RUERpZnlsRjNkRTFUMm13bkI3VDFYZmdWYWwwSDY4ZVBQTmdnZWx3?oc=5,인공지능
"인공지능으로 “1인 기업 시대 연다”...알리바바, 기업용 자율 AI 에이전트 플랫폼 ‘우콩’ 전격 출시 - 인공지능신문","<a href=""https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5qbzNkSldJQnE5c2t4YkFBcEVNbTJDSHNjaUJXR2czN2xLUTgzZnBHbld4cWt0bXhsbmpKN2E3WjhfX0hYZHZJQnRwdnNEcHFSTi0yeWJyUC0wcmRmNDhVOVVjN3AtbWM?oc=5"" target=""_blank"">인공지능으로 “1인 기업 시대 연다”...알리바바, 기업용 자율 AI 에이전트 플랫폼 ‘우콩’ 전격 출시</a>&nbsp;&nbsp;<font color=""#6f6f6f"">인공지능신문</font>",https://news.google.com/rss/articles/CBMiZ0FVX3lxTE5qbzNkSldJQnE5c2t4YkFBcEVNbTJDSHNjaUJXR2czN2xLUTgzZnBHbld4cWt0bXhsbmpKN2E3WjhfX0hYZHZJQnRwdnNEcHFSTi0yeWJyUC0wcmRmNDhVOVVjN3AtbWM?oc=5,인공지능
「뻔뻔한 과힉책」인공지능은 똑똑한 로봇이야! - 소년한국일보,"<a href=""https://news.google.com/rss/articles/CBMibEFVX3lxTE1ldG5tbE1GX2RBUUMtY0JsQVh2YnZqaEliYXdHLTV5MlRNUDdDdDBGcWJRd1RWZ3JaOFhmVFByTlQxYnFUbjhXaVNtV2pDRnhpNmdGSHpybFlnUTdQb0FReEJ3U19rQWIxVEJERdIBcEFVX3lxTE50NEd0TG5WdDNJdW9JQ2l6X2l6dGlkNHpTS1N0bWs0ZXcxQkF6WWg0SEFBbFNqZTY4aFZzVzRIcDQzUXBBLW9XZHhiX0J0Y0N5Q09IVUJpVDJVY0JEaWM1OWpuVUxUS2xVdWdQQmFHYjM?oc=5"" target=""_blank"">「뻔뻔한 과힉책」인공지능은 똑똑한 로봇이야!</a>&nbsp;&nbsp;<font color=""#6f6f6f"">소년한국일보</font>",https://news.google.com/rss/articles/CBMibEFVX3lxTE1ldG5tbE1GX2RBUUMtY0JsQVh2YnZqaEliYXdHLTV5MlRNUDdDdDBGcWJRd1RWZ3JaOFhmVFByTlQxYnFUbjhXaVNtV2pDRnhpNmdGSHpybFlnUTdQb0FReEJ3U19rQWIxVEJERdIBcEFVX3lxTE50NEd0TG5WdDNJdW9JQ2l6X2l6dGlkNHpTS1N0bWs0ZXcxQkF6WWg0SEFBbFNqZTY4aFZzVzRIcDQzUXBBLW9XZHhiX0J0Y0N5Q09IVUJpVDJVY0JEaWM1OWpuVUxUS2xVdWdQQmFHYjM?oc=5,인공지능
"경남도, 인공지능 통합복지플랫폼 6월부터 본격 운영 - 경향신문","<a href=""https://news.google.com/rss/articles/CBMiWkFVX3lxTE9KZkZBTS1ObnFFUW80b1piNkQtTGVLRFRWV3lkYm52c2p2TUEwYnpoMFZ4WWgwZ1dWc05fZXVkXzZLczNpQ2pDbnRrYWF3bG16OGFCSklXVkdCUdIBX0FVX3lxTE9kV2cwM0E3MUM5bkRpWWJpOWRWeFE3cDNkbno0ZC1vRU92eW9iUU4wQ1pnMHJ6dUFaZG9NSnFySXhxRTlKaE9uZlpsRzlEMGpNMlNwMHFCc2tRSi12aE9j?oc=5"" target=""_blank"">경남도, 인공지능 통합복지플랫폼 6월부터 본격 운영</a>&nbsp;&nbsp;<font color=""#6f6f6f"">경향신문</font>",https://news.google.com/rss/articles/CBMiWkFVX3lxTE9KZkZBTS1ObnFFUW80b1piNkQtTGVLRFRWV3lkYm52c2p2TUEwYnpoMFZ4WWgwZ1dWc05fZXVkXzZLczNpQ2pDbnRrYWF3bG16OGFCSklXVkdCUdIBX0FVX3lxTE9kV2cwM0E3MUM5bkRpWWJpOWRWeFE3cDNkbno0ZC1vRU92eW9iUU4wQ1pnMHJ6dUFaZG9NSnFySXhxRTlKaE9uZlpsRzlEMGpNMlNwMHFCc2tRSi12aE9j?oc=5,인공지능
5년간 1만5000명 채용… 인공지능·R&D 인재육성 중점[‘청년도약 프로젝트’ 현장을 가다] - 문화일보,"<a href=""https://news.google.com/rss/articles/CBMiUEFVX3lxTE5vRzFoQjI0VHJCZ0VhcHhrbW92M29icExZdDVxTjQ0SDFHdnlYX0Z6NXFGV0pra1pLMjZYTzd3UzBSMTZ4U3RNWWpkdVRNSDdp?oc=5"" target=""_blank"">5년간 1만5000명 채용… 인공지능·R&amp;D 인재육성 중점[‘청년도약 프로젝트’ 현장을 가다]</a>&nbsp;&nbsp;<font color=""#6f6f6f"">문화일보</font>",https://news.google.com/rss/articles/CBMiUEFVX3lxTE5vRzFoQjI0VHJCZ0VhcHhrbW92M29icExZdDVxTjQ0SDFHdnlYX0Z6NXFGV0pra1pLMjZYTzd3UzBSMTZ4U3RNWWpkdVRNSDdp?oc=5,인공지능
“경남을 AI 산업 혁신 거점으로”…경남인공지능ICT협회 새출발 - 전자신문,"<a href=""https://news.google.com/rss/articles/CBMiTkFVX3lxTE9Xb256VW1QVmNHU0xETWRRNUowMEt6TjA5MXd1Zy1Dd2pHSG52Xzc4V1RGZ2lkNFFNSUgzMHBLOVZEU3FTWHNYZDdONzJsdw?oc=5"" target=""_blank"">“경남을 AI 산업 혁신 거점으로”…경남인공지능ICT협회 새출발</a>&nbsp;&nbsp;<font color=""#6f6f6f"">전자신문</font>",https://news.google.com/rss/articles/CBMiTkFVX3lxTE9Xb256VW1QVmNHU0xETWRRNUowMEt6TjA5MXd1Zy1Dd2pHSG52Xzc4V1RGZ2lkNFFNSUgzMHBLOVZEU3FTWHNYZDdONzJsdw?oc=5,인공지능
